sample,link,dataset_type,filetype,size
ZM7JY3G,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZM7JY3G_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZM8YXDM,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZM8YXDM_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZMBH10Z,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZMBH10Z_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZMGT937,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZMGT937_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZN0JE53,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZN0JE53_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZN3TBJM,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZN3TBJM_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZN9TKCJ,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZN9TKCJ_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZMBVNFM,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZMBVNFM_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZJXC41N,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZJXC41N_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZK4CK8Y,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZK4CK8Y_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZL63I8R,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZL63I8R_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZL9BTWF,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZL9BTWF_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLGD9M0,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLGD9M0_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLPZS0H,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLPZS0H_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLTUJTN,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLTUJTN_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZLZNCLZ,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZLZNCLZ_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZN9YTFN,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZN9YTFN_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZNED4XZ,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZNED4XZ_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZOBX723,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZOBX723_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZP0DXQ0,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZP0DXQ0_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
ZRGK7U8,http://downloads.hmpdacc.org/ihmp/t2d/genome/host/wgs/raw/ZRGK7U8_hostwgs-00.tar,host_wgs_raw_seq_set,FASTQ,45 B
